col1	col2_9.967747721864571	col3_10.112795195702203	col4_9.990789009236355	col5_10.035957269515954	col6_10.09589949605572	col7_10.067331444593002	col8_9.93875796760222	col9_9.998750597215803	col10_10.02049171252626	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20
1	8.588184449916076	12.741672728915868	9.737981738405036	12.288348398907182	13.197192357331138	8.741813619708827	8.903401051657767	9.664404480236087	8.56451737352934	abscissa	Ababa	accipiter	accidental	achieve	acerbic	Aarhus	abdicate	acetic	December 12, 2014
2	13.742072999691949	8.467483365105572	7.114571595662978	11.59522703050116	10.670454057811734	9.824045790526077	11.162328084787443	13.109553682213583	10.25682892404165	abhorred	accouter	abutted	accede	accompanist	abbe	abnormal	abridge	abroad	April 29, 2014
3	11.13508119492986	6.022445290716062	7.535466686577542	9.574917942946803	10.499000754702887	10.824973840447324	9.22057112038625	9.667124536528362	7.733702780879389	Abidjan	acacia	Abigail	acetate	Acapulco	abstruse	a	accrual	abuse	January 18, 2014
4	11.377557265202483	10.237724705556571	8.731191197362996	11.168522986465616	8.93357662949246	12.545914057234226	9.319064685712014	8.125828873546839	7.508346701304474	absinthe	AC	acknowledgeable	abhorrent	accredit	accustom	abrogate	accommodate	abridge	February 21, 2014
5	10.756793224316173	11.312647930291545	9.25639388122737	11.307089370003627	12.276582531779132	12.399954865389976	8.892940398654465	11.95950736864151	11.694473498827637	acanthus	absorbent	academician	Ackerman	accredit	abject	accretion	academia	accident	April 02, 2014
6	9.546864823948729	5.7977264269141315	10.713159059625303	10.454450389504576	9.937675499664124	9.104873210602936	9.826715033700683	8.250607705868838	12.817134356141665	acknowledge	accipiter	absentia	abrogate	aberrant	accolade	abhorred	ablaze	abutting	January 23, 2014
7	10.191517822461615	14.827298306677253	7.658860795102102	10.913756264557989	14.355207915183867	8.021600256876809	9.137988137178969	12.231041542687285	11.55700014482839	abed	absorb	abutting	Abernathy	abhorrent	abreact	abhorrent	absorbent	Abelson	February 10, 2014
8	12.918539450698503	7.030413115526031	10.13573361278177	7.663682537961311	13.582755831061935	8.372265001491808	14.569764563850285	8.422371311016546	12.652983507011742	Abe	abrasive	abjure	acetate	abominate	accusatory	acid	abstract	acid	December 27, 2014
9	10.322529090463394	9.473505243704022	9.090143587161224	11.628126639441271	9.489527353487713	9.931368119310417	9.10222554095549	12.208350382137564	9.819851917980623	abrogate	accord	ablaze	abuse	accuse	acidify	academic	abreact	abbe	June 27, 2014
10	6.852389260960056	9.877232143366573	9.499773794483362	11.102081533302831	8.314414035633037	8.254496266540302	5.843633599515249	9.100559227275854	6.602642164628171	absenteeism	abscess	abominate	abstinent	abyss	absentminded	Abe	abscissae	aborigine	November 27, 2014
11	8.852818588465844	9.693131341935526	7.737066198783782	5.981974073787656	7.40222587762879	10.410425322693907	11.367365034833142	10.011701329524888	9.907190184933741	accustom	accrual	accession	accessory	abscissae	accretion	abrasion	absurdum	academician	September 18, 2014
12	9.708504944702783	10.366753320144142	7.132848314669367	10.268708430246733	7.328296126388274	7.105116547771505	7.373517535552021	7.030307035368916	7.878427997653942	abridge	acetaminophen	accipiter	aboard	Abernathy	abrasive	abscess	abstractor	abolish	March 17, 2014
13	9.52182930560958	8.223806154998252	9.864291651329706	12.38518460123203	10.775881945981014	9.214760822237151	8.94816447034888	12.403052912178362	7.521495556430194	achieve	accuse	accompaniment	abrasion	abridge	abutted	abrasive	accompanist	Ackerman	May 18, 2014
14	9.292491335009649	8.118718960945483	6.854035410817406	7.118451550637824	11.011092808583893	11.059995178067338	7.991324174328607	10.422974047323772	10.844809865673836	abridge	abreact	absentia	abhor	abreast	abrasion	abut	accident	abhorrent	February 11, 2014
15	9.697490842052385	10.283381276303084	9.900885620913309	11.031084261750905	6.031425515263882	13.040892948835982	13.524619283900893	13.185324329876929	7.44596615963083	absent	abutting	accessible	above	accost	aboveground	acclaim	abrasive	abbe	June 21, 2014
16	12.48506089669613	6.649384890661745	13.075545136918675	12.276368408371338	9.303556734451824	6.3903193371615625	5.464935237565976	9.417993215709021	12.627586182283466	acculturate	accent	abject	abdomen	acanthus	Abe	Abe	accrual	ablution	March 11, 2014
17	6.822533898238291	9.445038857981977	9.658031853856155	12.717228293592338	12.871166317610735	11.612721312260652	11.327368774909512	12.408259741792019	6.679272585520989	acculturate	accordion	acetate	accordant	Acadia	abound	absorb	AAAS	academy	July 07, 2014
18	9.470765826923973	10.55100801231939	13.440592242562674	9.365740550917687	8.656695392102016	11.981059442033189	8.325456190740372	12.425641679675284	9.431563457103415	acerbity	accolade	Abner	abeyance	accomplice	accost	abutting	AC	abort	January 09, 2014
19	8.854877968676579	10.113104071368094	10.510235365224935	10.95024162332985	7.992860701762899	13.099199189200235	12.841966597401571	10.066539523148009	10.577812920407297	abandon	Ackley	accumulate	acetylene	aboveground	Abram	abrade	absorptive	abscess	January 21, 2014
20	11.59959296391133	9.51487015211867	10.815448211217099	10.633972256194314	10.859267831689046	9.734155794308334	8.596080786643503	10.56652465542589	7.7325586685784335	Abramson	accreditation	abc	absolution	abate	abase	accredit	acacia	acclaim	May 16, 2014
21	8.54032031184322	7.604518213199032	10.839033614520837	7.626584825059204	7.946399790479564	9.717526876935393	10.663412250417489	10.340613938695597	9.45097941756167	abort	acetate	abutting	academician	acclimate	ablaze	abundant	abnormal	accede	June 20, 2014
22	8.481211365919545	11.95921475942188	10.896504771944349	11.576216743700035	11.225542915791994	9.232126240216806	8.9132694528067	12.921026392122453	9.715216681658198	accent	acerbity	aboveboard	abridge	accurate	abovementioned	abase	achromatic	accurate	April 24, 2014
23	11.806836010628597	12.185414490163945	13.997449893236219	10.072160178514395	10.773482836493807	8.925767510154632	11.178012503944448	5.389059056437306	13.713040583871376	acculturate	absorption	abound	accordant	able	abide	absentia	academician	accolade	May 12, 2014
24	10.190444340183063	13.474160598525721	12.937698606294742	11.869624824313828	11.561643578805832	8.9668804524109	8.947143938805663	10.075685190180572	7.656881810167382	abutting	acetic	absorptive	abrade	abutted	Aberdeen	absorb	Abner	accuracy	April 28, 2014
25	9.905193124928392	10.20081305174202	11.696943538930725	9.276178167953296	7.386554610295314	8.189599987969737	12.69030226462609	9.128953774328405	12.711222065429386	accuse	absent	aberrant	abject	Ababa	accreditation	accuse	abyss	absurdum	July 03, 2014
26	12.381939281148021	14.691354697433844	12.194585481302148	12.831023761910572	10.513200107272922	12.35870868253278	7.668432682564248	12.904943128073649	11.406696401708041	Accra	abstention	abundant	aborning	abyss	abhorred	accommodate	abetted	abetted	August 04, 2014
27	11.580667051098068	9.042428960077157	12.5390090964633	11.631756767541848	9.413493110787028	11.631678878592453	12.603660908506802	11.150120798245606	8.26267715836256	absorbent	abandon	Abo	acetylene	aborning	abase	ace	AAA	ablate	November 15, 2014
28	10.646336746004089	9.29162031602537	10.103718369157832	11.621571421693957	10.191502456016686	9.0918221563783	8.022002022142498	7.449173822602376	8.846074096275775	aching	abovementioned	accouter	Acadia	abrogate	abbas	abut	acid	abuilding	August 22, 2014
